	Friedmanniomyces_endolithicus_CCFEE_5311.v3.aa	Friedmanniomyces_simplex_CCFEE_5184.v3.aa	Hortaea_werneckii_EXF-2000.v3.aa
Number of genes	18027	13766	15620
Number of genes in orthogroups	16795	12761	14762
Number of unassigned genes	1232	1005	858
Percentage of genes in orthogroups	93.2	92.7	94.5
Percentage of unassigned genes	6.8	7.3	5.5
Number of orthogroups containing species	8842	8871	7882
Percentage of orthogroups containing species	84.1	84.4	75.0
Number of species-specific orthogroups	443	453	881
Number of genes in species-specific orthogroups	994	1074	1954
Percentage of genes in species-specific orthogroups	5.5	7.8	12.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1669	1640	2629
'1	1451	5715	1357
'2	6961	2602	6291
'3	346	426	152
'4	64	93	61
'5	11	23	10
'6	5	9	6
'7	0	1	3
'8	1	2	2
'9	2	0	0
'10	0	0	0
11-15	0	0	0
16-20	1	0	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	15.9	15.6	25.0
'1	13.8	54.4	12.9
'2	66.2	24.8	59.9
'3	3.3	4.1	1.4
'4	0.6	0.9	0.6
'5	0.1	0.2	0.1
'6	0.0	0.1	0.1
'7	0.0	0.0	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	1451	5715	1357
'2	13922	5204	12582
'3	1038	1278	456
'4	256	372	244
'5	55	115	50
'6	30	54	36
'7	0	7	21
'8	8	16	16
'9	18	0	0
'10	0	0	0
11-15	0	0	0
16-20	17	0	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	8.0	41.5	8.7
'2	77.2	37.8	80.6
'3	5.8	9.3	2.9
'4	1.4	2.7	1.6
'5	0.3	0.8	0.3
'6	0.2	0.4	0.2
'7	0.0	0.1	0.1
'8	0.0	0.1	0.1
'9	0.1	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.1	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
